Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Gtf2a1	ENSMUST00000021345.7	general transcription factor II A, 1 	109	3	1	1	1	0	0	0	0	2	mmu-miR-7a-5p	-0.67	-0.67	0.44	2011
Rimkla	ENSMUST00000049994.7	ribosomal modification protein rimK-like family member A 	22	1	0	1	0	0	0	0	0	2	mmu-miR-7a-5p	-0.66	-0.66	0.54	2009, 2011
Cry2	ENSMUST00000090559.6	cryptochrome 2 (photolyase-like) 	566	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.64	-0.64	0.58	2005, 2007, 2009, 2011
Spata2	ENSMUST00000057627.10	spermatogenesis associated 2 	52	3	2	1	0	2	0	1	1	0	mmu-miR-7a-5p	-0.64	-0.94	0.96	2005, 2007, 2009, 2011
Nrep	ENSMUST00000051087.9	neuronal regeneration related protein 	693	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.64	-0.64	0.75	2007, 2009, 2011
Bloc1s4	ENSMUST00000071949.3	biogenesis of lysosomal organelles complex-1, subunit 4, cappuccino 	950	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.62	-0.62	0.72	2007, 2009, 2011
Cggbp1	ENSMUST00000067744.7	CGG triplet repeat binding protein 1 	1096	1	1	0	0	1	1	0	0	0	mmu-miR-7a-5p	-0.59	-1.64	0.76	2005, 2007, 2009, 2011
Lrrc59	ENSMUST00000021239.6	leucine rich repeat containing 59 	13744	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.59	-0.60	0.34	2007, 2009, 2011
0610007P14Rik	ENSMUST00000021676.6	RIKEN cDNA 0610007P14 gene 	2559	1	1	0	0	0	0	0	0	3	mmu-miR-7a-5p	-0.57	-0.66	0.45	2009, 2011
Plcb1	ENSMUST00000110116.2	phospholipase C, beta 1 	265	1	0	0	1	1	0	0	1	1	mmu-miR-7a-5p	-0.54	-0.63	< 0.1	2005, 2007, 2011
Naa60	ENSMUST00000186375.1	N(alpha)-acetyltransferase 60, NatF catalytic subunit 	1502	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.54	-0.55	0.66	2007, 2009, 2011
Cct4	ENSMUST00000173867.2	chaperonin containing Tcp1, subunit 4 (delta) 	24836	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.54	-0.54	0.57	2005, 2007, 2009, 2011
Ghitm	ENSMUST00000042564.10	growth hormone inducible transmembrane protein 	6265	1	1	0	0	1	0	0	1	2	mmu-miR-7a-5p	-0.54	-0.58	< 0.1	2005, 2007, 2009, 2011
Adam11	ENSMUST00000068150.5	a disintegrin and metallopeptidase domain 11 	163	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.54	-0.54	0.54	2005, 2007, 2009, 2011
Ost4	ENSMUST00000132253.2	oligosaccharyltransferase 4 homolog (S. cerevisiae) 	308	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.53	-0.53	0.13	2009, 2011
Phf21a	ENSMUST00000044036.9	PHD finger protein 21A 	306	1	0	1	0	0	0	0	0	2	mmu-miR-7a-5p	-0.53	-0.71	0.72	2005, 2007, 2009, 2011
4933426M11Rik	ENSMUST00000068519.5	RIKEN cDNA 4933426M11 gene 	1522	1	0	1	0	1	0	1	0	6	mmu-miR-7a-5p	-0.52	-0.53	0.37	2007, 2009, 2011
Nr1h2	ENSMUST00000107912.2	nuclear receptor subfamily 1, group H, member 2 	126	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.52	-0.52	< 0.1	2005, 2007, 2009, 2011
H2-Ob	ENSMUST00000095342.4	histocompatibility 2, O region beta locus 	103	1	1	0	0	2	0	1	1	2	mmu-miR-7a-5p	-0.52	-0.78	< 0.1	2009, 2011
Plp2	ENSMUST00000033486.5	proteolipid protein 2 	20	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.51	-0.51	0.68	2005, 2007, 2009, 2011
Purb	ENSMUST00000179343.2	purine rich element binding protein B 	1875	1	0	1	0	0	0	0	0	4	mmu-miR-7a-5p	-0.51	-0.86	0.31	2005, 2007
Vma21	ENSMUST00000114577.2	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	350	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.51	-0.66	0.53	2007, 2009, 2011
Champ1	ENSMUST00000051870.7	chromosome alignment maintaining phosphoprotein 1 	743	2	1	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.50	-0.52	0.82	2007, 2011
Raf1	ENSMUST00000112949.2	v-raf-leukemia viral oncogene 1 	447	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.50	-0.51	0.67	2005, 2007, 2009, 2011
Kif16b	ENSMUST00000043589.7	kinesin family member 16B 	222	1	1	0	0	1	0	0	1	1	mmu-miR-7b-5p	-0.50	-0.59	0.75	2007, 2009, 2011
Trpm7	ENSMUST00000103224.4	transient receptor potential cation channel, subfamily M, member 7 	773	1	0	1	0	2	0	1	1	1	mmu-miR-7a-5p	-0.50	-0.52	0.52	2005, 2007, 2009, 2011
Pan2	ENSMUST00000005825.6	PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae) 	97	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.49	-0.49	0.61	2007, 2009, 2011
Vdac3	ENSMUST00000009036.4	voltage-dependent anion channel 3 	145	1	0	0	1	0	0	0	0	1	mmu-miR-7a-5p	-0.49	-0.49	< 0.1	2005, 2007, 2009, 2011
Wipf2	ENSMUST00000037480.8	WAS/WASL interacting protein family, member 2 	310	2	1	1	0	5	1	2	2	3	mmu-miR-7a-5p	-0.49	-0.62	0.70	2007, 2009, 2011
Cnppd1	ENSMUST00000168720.2	cyclin Pas1/PHO80 domain containing 1 	1050	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.48	-0.48	0.79	2007, 2009, 2011
Fam168b	ENSMUST00000167518.2	family with sequence similarity 168, member B 	808	1	1	0	0	2	0	2	0	1	mmu-miR-7a-5p	-0.48	-0.65	0.83	2007, 2009, 2011
3110001I22Rik	ENSMUST00000035426.5	RIKEN cDNA 3110001I22 gene 	118	1	1	0	0	1	0	0	1	1	mmu-miR-7a-5p	-0.47	-0.49	< 0.1	2009, 2011
Strn3	ENSMUST00000013130.9	striatin, calmodulin binding protein 3 	4069	1	1	0	0	1	0	0	1	1	mmu-miR-7a-5p	-0.47	-0.48	0.84	2005, 2007, 2011
Cyth3	ENSMUST00000116456.4	cytohesin 3 	1264	1	1	0	0	1	0	1	0	0	mmu-miR-7a-5p	-0.47	-0.47	0.54	2007, 2009, 2011
Gjc1	ENSMUST00000068933.6	gap junction protein, gamma 1 	295	1	1	0	0	1	1	0	0	3	mmu-miR-7a-5p	-0.46	-0.50	0.83	2007, 2009, 2011
Tmed9	ENSMUST00000109905.3	transmembrane emp24 protein transport domain containing 9 	119	1	0	1	0	4	0	1	3	0	mmu-miR-7a-5p	-0.45	-0.69	0.71	2005, 2007, 2009, 2011
Ckap4	ENSMUST00000053871.3	cytoskeleton-associated protein 4 	538	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.45	-0.46	0.82	2005, 2007, 2009, 2011
Fndc4	ENSMUST00000172435.2	fibronectin type III domain containing 4 	521	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.45	-0.45	0.75	2005, 2009, 2011
1110008F13Rik	ENSMUST00000029165.3	RIKEN cDNA 1110008F13 gene 	8393	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.45	-0.45	0.55	2009, 2011
Mknk1	ENSMUST00000019677.6	MAP kinase-interacting serine/threonine kinase 1 	285	1	0	1	0	2	0	0	2	1	mmu-miR-7a-5p	-0.44	-0.44	0.68	2005, 2007, 2009, 2011
Nlrx1	ENSMUST00000168499.2	NLR family member X1 	29	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.44	-0.63	0.42	2007, 2009, 2011
Dcstamp	ENSMUST00000022913.4	dentrocyte expressed seven transmembrane protein 	5	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.43	-0.43	< 0.1	2007, 2009, 2011
Parp1	ENSMUST00000027777.6	poly (ADP-ribose) polymerase family, member 1 	1992	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.43	-0.48	0.74	2009, 2011
Pfn2	ENSMUST00000066882.8	profilin 2 	5124	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.43	-0.43	0.69	2005, 2007, 2009, 2011
Pax6	ENSMUST00000111086.5	paired box 6 	15	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.43	-0.43	0.71	2007, 2009, 2011
Gal3st3	ENSMUST00000061169.6	galactose-3-O-sulfotransferase 3 	36	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.43	-0.43	0.78	2005, 2007, 2009, 2011
Kif13a	ENSMUST00000056978.7	kinesin family member 13A 	2688	1	1	0	0	1	0	0	1	2	mmu-miR-7a-5p	-0.42	-0.45	0.81	2009, 2011
Igsf8	ENSMUST00000139528.2	immunoglobulin superfamily, member 8 	1836	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.42	-0.42	0.18	2007, 2009, 2011
Atf7	ENSMUST00000184616.2	activating transcription factor 7 	227	1	1	0	0	4	0	1	3	6	mmu-miR-7a-5p	-0.42	-0.46	0.48	2005, 2007
Gltpd1	ENSMUST00000105586.1	glycolipid transfer protein domain containing 1 	1033	1	0	1	0	2	0	1	1	0	mmu-miR-7a-5p	-0.42	-0.42	< 0.1	2007, 2009, 2011
Arid4a	ENSMUST00000046305.6	AT rich interactive domain 4A (RBP1-like) 	150	2	1	0	1	1	0	0	1	0	mmu-miR-7a-5p	-0.42	-0.55	0.80	2005, 2007, 2009, 2011
Ublcp1	ENSMUST00000102795.3	ubiquitin-like domain containing CTD phosphatase 1 	7	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.42	-0.42	0.46	2005, 2007, 2009, 2011
Fam53c	ENSMUST00000049281.6	family with sequence similarity 53, member C 	462	1	1	0	0	1	0	1	0	2	mmu-miR-7a-5p	-0.41	-0.41	0.55	2005, 2007, 2009, 2011
Ankrd12	ENSMUST00000038116.6	ankyrin repeat domain 12 	320	1	0	1	0	0	0	0	0	2	mmu-miR-7a-5p	-0.41	-0.43	0.70	2005, 2007, 2009, 2011
Smim12	ENSMUST00000142029.1	small integral membrane protein 12 	829	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.41	-0.62	< 0.1	2007, 2009, 2011
Cacng7	ENSMUST00000092891.4	calcium channel, voltage-dependent, gamma subunit 7 	106	1	1	0	0	0	0	0	0	4	mmu-miR-7a-5p	-0.40	-0.40	0.76	
Gmeb1	ENSMUST00000168553.2	glucocorticoid modulatory element binding protein 1 	202	1	1	0	0	3	2	1	0	1	mmu-miR-7a-5p	-0.40	-0.57	0.72	2009, 2011
Herpud2	ENSMUST00000008573.7	HERPUD family member 2 	508	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.40	-0.41	0.70	2007, 2009, 2011
Cxcl2	ENSMUST00000075433.6	chemokine (C-X-C motif) ligand 2 	5	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.40	-0.40	0.37	2009, 2011
Ccdc120	ENSMUST00000033490.7	coiled-coil domain containing 120 	22	1	1	0	0	3	0	2	1	0	mmu-miR-7a-5p	-0.40	-0.40	< 0.1	2007, 2009, 2011
March11	ENSMUST00000152841.1	membrane-associated ring finger (C3HC4) 11 	5	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.40	-0.40	ORF	
Fgf1	ENSMUST00000117566.2	fibroblast growth factor 1 	617	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.40	-0.43	< 0.1	2005, 2007, 2009, 2011
Prkcb	ENSMUST00000064921.4	protein kinase C, beta 	114	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.40	-0.40	0.28	2009, 2011
Cnn3	ENSMUST00000029773.8	calponin 3, acidic 	2114	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.39	-0.39	0.61	2005, 2007, 2009, 2011
Rsbn1	ENSMUST00000106806.1	rosbin, round spermatid basic protein 1 	1150	1	1	0	0	2	0	1	1	1	mmu-miR-7a-5p	-0.39	-0.42	0.76	2005, 2007, 2009, 2011
Vps26a	ENSMUST00000105447.4	vacuolar protein sorting 26 homolog A (yeast) 	842	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.39	-0.39	0.72	2007, 2009, 2011
Ptgfrn	ENSMUST00000102694.3	prostaglandin F2 receptor negative regulator 	263	1	1	0	0	3	0	1	2	3	mmu-miR-7b-5p	-0.38	-0.46	0.43	2005, 2007, 2009, 2011
Kcnj2	ENSMUST00000042970.2	potassium inwardly-rectifying channel, subfamily J, member 2 	89	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.37	-0.37	0.66	2005, 2007, 2011
Gm10118	ENSMUST00000079279.3	predicted gene 10118 	5	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.37	-0.37	0.25	
Wdr47	ENSMUST00000051145.9	WD repeat domain 47 	730	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.37	-0.37	0.69	2005, 2007, 2009, 2011
Smyd5	ENSMUST00000045693.7	SET and MYND domain containing 5 	819	1	1	0	0	0	0	0	0	3	mmu-miR-7a-5p	-0.37	-0.37	0.65	2005, 2007, 2009, 2011
Galnt3	ENSMUST00000028378.3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 	223	1	0	1	0	0	0	0	0	1	mmu-miR-7b-5p	-0.37	-0.37	0.69	2007, 2009, 2011
Vimp	ENSMUST00000101801.5	VCP-interacting membrane protein 	4931	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.37	-0.37	0.28	2009, 2011
Ppif	ENSMUST00000022419.6	peptidylprolyl isomerase F (cyclophilin F) 	2388	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.37	-0.37	0.14	2007, 2009, 2011
Pbx3	ENSMUST00000113132.3	pre B cell leukemia homeobox 3 	691	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.36	-0.37	0.71	2007
Iglon5	ENSMUST00000107974.1	IgLON family member 5 	23	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.36	-0.36	0.73	2011
Ide	ENSMUST00000131070.1	insulin degrading enzyme 	1142	2	2	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.36	-0.46	0.62	2005, 2007, 2009, 2011
Lrtm2	ENSMUST00000112756.2	leucine-rich repeats and transmembrane domains 2 	13	1	0	1	0	1	0	1	0	1	mmu-miR-7a-5p	-0.36	-0.36	0.30	2007, 2009, 2011
Marf1	ENSMUST00000090300.4	meiosis arrest female 1 	1011	1	1	0	0	1	0	0	1	2	mmu-miR-7b-5p	-0.36	-0.37	0.34	2009, 2011
Rbms1	ENSMUST00000028347.7	RNA binding motif, single stranded interacting protein 1 	13703	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.36	-0.37	0.79	
Bcr	ENSMUST00000164107.1	breakpoint cluster region 	1434	1	0	1	0	1	0	1	0	0	mmu-miR-7a-5p	-0.36	-0.68	0.57	2007, 2009, 2011
Arrb1	ENSMUST00000098266.3	arrestin, beta 1 	3433	1	1	0	0	3	0	1	2	3	mmu-miR-7a-5p	-0.36	-0.36	< 0.1	2005, 2007, 2009, 2011
Cnot8	ENSMUST00000108843.2	CCR4-NOT transcription complex, subunit 8 	691	1	0	1	0	2	1	1	0	2	mmu-miR-7a-5p	-0.35	-0.66	0.70	2005, 2007, 2009, 2011
Rb1	ENSMUST00000022701.6	retinoblastoma 1 	607	1	1	0	0	1	0	0	1	0	mmu-miR-7a-5p	-0.35	-0.36	< 0.1	2005, 2007, 2009, 2011
Irs2	ENSMUST00000040514.6	insulin receptor substrate 2 	385	2	1	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.34	-0.37	0.85	2005, 2007
Mafg	ENSMUST00000058162.8	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian) 	999	2	1	1	0	0	0	0	0	5	mmu-miR-7a-5p	-0.34	-0.36	0.90	2005, 2007
Col2a1	ENSMUST00000023123.9	collagen, type II, alpha 1 	5	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.34	-0.34	0.57	2005, 2007, 2009, 2011
Serp1	ENSMUST00000029385.7	stress-associated endoplasmic reticulum protein 1 	4897	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.34	-0.38	0.69	2005, 2007, 2009, 2011
Calr	ENSMUST00000003912.6	calreticulin 	20820	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.34	-0.34	0.23	2009, 2011
Flrt2	ENSMUST00000057324.3	fibronectin leucine rich transmembrane protein 2 	128	1	0	1	0	1	0	1	0	0	mmu-miR-7a-5p	-0.34	-0.55	0.67	2005, 2007, 2011
Bcorl1	ENSMUST00000136348.2	BCL6 co-repressor-like 1 	306	1	1	0	0	1	0	0	1	1	mmu-miR-7a-5p	-0.34	-0.51	0.82	2005, 2007, 2009, 2011
Kdm3b	ENSMUST00000043775.7	KDM3B lysine (K)-specific demethylase 3B 	1192	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.34	-0.34	0.69	2007, 2009, 2011
Zfp768	ENSMUST00000060783.5	zinc finger protein 768 	57	1	0	1	0	0	0	0	0	1	mmu-miR-7a-5p	-0.34	-0.34	0.44	2009, 2011
Ccnt2	ENSMUST00000112570.1	cyclin T2 	793	1	0	1	0	1	0	1	0	1	mmu-miR-7a-5p	-0.33	-0.37	0.47	2005, 2007, 2009, 2011
Psme3	ENSMUST00000019470.8	proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki) 	5849	1	1	0	0	1	0	0	1	3	mmu-miR-7a-5p	-0.33	-0.70	0.38	2005, 2007, 2009, 2011
Hells	ENSMUST00000025965.6	helicase, lymphoid specific 	4578	1	0	1	0	1	0	1	0	0	mmu-miR-7a-5p	-0.33	-0.52	0.72	2005, 2007, 2009, 2011
Slc25a15	ENSMUST00000033871.6	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15 	8694	1	0	1	0	1	0	1	0	2	mmu-miR-7a-5p	-0.33	-0.41	0.58	2005, 2007, 2009, 2011
Tmub2	ENSMUST00000036376.7	transmembrane and ubiquitin-like domain containing 2 	1049	1	0	1	0	1	0	1	0	1	mmu-miR-7a-5p	-0.33	-0.33	0.39	2007, 2009, 2011
Cand1	ENSMUST00000020315.7	cullin associated and neddylation disassociated 1 	2940	1	0	0	1	0	0	0	0	0	mmu-miR-7a-5p	-0.33	-0.33	0.28	2005, 2007, 2009, 2011
Rgs7bp	ENSMUST00000063551.5	regulator of G-protein signalling 7 binding protein 	26	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.33	-0.42	0.83	2007, 2009, 2011
Ablim1	ENSMUST00000079360.6	actin-binding LIM protein 1 	1874	1	0	1	0	2	0	2	0	1	mmu-miR-7b-5p	-0.33	-0.34	0.54	2005, 2007, 2009, 2011
Megf9	ENSMUST00000107359.3	multiple EGF-like-domains 9 	748	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.33	-0.33	0.79	2007, 2009, 2011
Smndc1	ENSMUST00000025997.5	survival motor neuron domain containing 1 	762	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.33	-0.33	0.69	2005, 2007, 2009, 2011
Eif3j1	ENSMUST00000028668.7	eukaryotic translation initiation factor 3, subunit J1 	350	1	0	0	1	2	0	1	1	0	mmu-miR-7a-5p	-0.33	-0.33	< 0.1	2009, 2011
Zbtb22	ENSMUST00000053429.9	zinc finger and BTB domain containing 22 	485	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.33	-0.33	0.43	2007, 2009, 2011
Strn	ENSMUST00000145910.3	striatin, calmodulin binding protein 	522	1	1	0	0	1	0	0	1	1	mmu-miR-7a-5p	-0.32	-0.33	0.43	
Atxn7	ENSMUST00000022257.2	ataxin 7 	414	1	0	1	0	1	0	1	0	0	mmu-miR-7a-5p	-0.32	-0.36	0.70	2009, 2011
Hs3st5	ENSMUST00000168572.2	heparan sulfate (glucosamine) 3-O-sulfotransferase 5 	73	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.32	-0.34	0.18	2009, 2011
Esrrg	ENSMUST00000027906.7	estrogen-related receptor gamma 	676	1	1	0	0	0	0	0	0	4	mmu-miR-7a-5p	-0.32	-0.32	0.79	2005, 2007, 2009, 2011
Lemd3	ENSMUST00000119944.2	LEM domain containing 3 	141	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.32	-0.32	0.62	2005, 2007, 2009, 2011
Mlh3	ENSMUST00000166821.2	mutL homolog 3 (E coli) 	116	1	1	0	0	0	0	0	0	0	mmu-miR-7a-5p	-0.32	-0.37	< 0.1	2007, 2009, 2011
Capza1	ENSMUST00000094028.5	capping protein (actin filament) muscle Z-line, alpha 1 	13	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.32	-0.32	0.67	2005, 2007, 2009, 2011
Naif1	ENSMUST00000048431.2	nuclear apoptosis inducing factor 1 	81	1	1	0	0	1	0	1	0	2	mmu-miR-7a-5p	-0.32	-0.54	0.44	2007
Ccdc43	ENSMUST00000092569.7	coiled-coil domain containing 43 	530	1	0	1	0	0	0	0	0	0	mmu-miR-7a-5p	-0.31	-0.32	0.71	2007, 2009, 2011
Zc3h4	ENSMUST00000098789.3	zinc finger CCCH-type containing 4 	1195	1	1	0	0	0	0	0	0	1	mmu-miR-7b-5p	-0.31	-0.32	0.83	2007, 2009, 2011
Tfrc	ENSMUST00000023486.9	transferrin receptor 	2457	1	1	0	0	1	0	0	1	0	mmu-miR-7a-5p	-0.31	-0.32	0.81	2005, 2007, 2009, 2011
Fam83a	ENSMUST00000160942.2	family with sequence similarity 83, member A 	6	1	1	0	0	0	0	0	0	2	mmu-miR-7a-5p	-0.31	-0.31	< 0.1	2005, 2007, 2009, 2011
Rnf144a	ENSMUST00000020971.7	ring finger protein 144A 	287	1	1	0	0	0	0	0	0	1	mmu-miR-7a-5p	-0.31	-0.34	0.70	2007, 2009, 2011
Pacsin1	ENSMUST00000045896.4	protein kinase C and casein kinase substrate in neurons 1 	263	1	1	0	0	0	0	0	0	3	mmu-miR-7a-5p	-0.31	-0.31	0.47	2005, 2007, 2009, 2011
Hcn1	ENSMUST00000006991.7	hyperpolarization-activated, cyclic nucleotide-gated K+ 1 	25	1	0	1	0	2	0	0	2	6	mmu-miR-7a-5p	-0.31	-0.32	0.72	2007, 2009, 2011
Diras1	ENSMUST00000055125.4	DIRAS family, GTP-binding RAS-like 1 	5	1	0	1	0	0	0	0	0	3	mmu-miR-7a-5p	-0.30	-0.30	0.60	2005, 2007, 2009, 2011
Ctdspl	ENSMUST00000073109.6	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like 	1316	1	1	0	0	1	0	1	0	1	mmu-miR-7a-5p	-0.30	-0.31	< 0.1	2007, 2009, 2011
Rnf20	ENSMUST00000029989.5	ring finger protein 20 	1943	1	0	1	0	2	1	0	1	0	mmu-miR-7a-5p	-0.30	-0.45	0.66	2005, 2007, 2009, 2011
