Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF791	ENST00000446165.1	zinc finger protein 791 	242	5	5	0	0	3	1	0	2	6	hsa-miR-181d-5p	-1.44	-1.49	< 0.1	
ZNF266	ENST00000361451.2	zinc finger protein 266 	16	1	1	0	0	1	1	0	0	1	hsa-miR-181a-5p	-1.38	-1.38	< 0.1	
ZFP82	ENST00000392161.3	ZFP82 zinc finger protein 	42	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-1.20	-1.20	0.60	2009, 2011
ZNF286B	ENST00000285274.5	zinc finger protein 286B 	5	8	1	7	0	1	1	0	0	1	hsa-miR-181a-5p	-1.15	-1.15	0.77	
POC1B-GALNT4	ENST00000547474.1	POC1B-GALNT4 readthrough 	275	2	1	1	0	4	0	1	3	0	hsa-miR-181a-5p	-1.13	-1.14	0.30	2011
RBAK	ENST00000396912.1	RB-associated KRAB zinc finger 	99	1	0	1	0	1	0	0	1	0	hsa-miR-181d-5p	-1.08	-1.08	0.77	2009, 2011
ZNF655	ENST00000425063.1	zinc finger protein 655 	709	1	1	0	0	10	3	6	1	2	hsa-miR-181d-5p	-1.07	-1.07	0.11	2009, 2011
ZNF23	ENST00000497160.1	zinc finger protein 23 	5	1	1	0	0	4	1	2	1	4	hsa-miR-181d-5p	-1.04	-1.04	ORF	
ZNF268	ENST00000542986.2	zinc finger protein 268 	156	5	1	4	0	10	2	8	0	0	hsa-miR-181b-5p	-1.02	-1.90	< 0.1	
ZNF302	ENST00000505365.2	zinc finger protein 302 	13	2	2	0	0	6	0	5	1	1	hsa-miR-181d-5p	-0.91	-0.93	< 0.1	2007
OSBPL3	ENST00000313367.2	oxysterol binding protein-like 3 	200	2	1	1	0	3	0	2	1	2	hsa-miR-181b-5p	-0.89	-1.13	0.95	2005, 2007, 2009, 2011
ZFP30	ENST00000392144.1	ZFP30 zinc finger protein 	41	1	0	1	0	0	0	0	0	2	hsa-miR-181a-5p	-0.87	-1.21	0.38	2009, 2011
ZFP62	ENST00000512132.1	ZFP62 zinc finger protein 	170	2	1	0	1	1	0	0	1	2	hsa-miR-181a-5p	-0.87	-0.98	0.80	2011
ZNF256	ENST00000598928.1	zinc finger protein 256 	18	4	0	4	0	8	0	8	0	3	hsa-miR-181d-5p	-0.82	-0.83	< 0.1	
KRBOX4	ENST00000360017.5	KRAB box domain containing 4 	162	2	0	2	0	1	1	0	0	1	hsa-miR-181d-5p	-0.82	-0.82	0.68	2011
ZNF397	ENST00000330501.7	zinc finger protein 397 	59	1	1	0	0	1	0	0	1	1	hsa-miR-181c-5p	-0.77	-0.86	0.22	
CTD-2140B24.4	ENST00000540096.2	Zinc finger protein 268  	156	5	1	4	0	10	2	8	0	0	hsa-miR-181b-5p	-0.76	-1.41	< 0.1	
ZNF136	ENST00000343979.4	zinc finger protein 136 	33	1	1	0	0	3*	0	1	1	0	hsa-miR-181d-5p	-0.73	-0.73	< 0.1	2011
GALNT4	ENST00000529983.2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4) 	275	1	1	0	0	4	0	1	3	0	hsa-miR-181a-5p	-0.68	-0.68	0.30	2011
ZNF667	ENST00000591790.1	zinc finger protein 667 	24	2	2	0	0	3	0	3	0	3	hsa-miR-181c-5p	-0.67	-0.67	< 0.1	
GSKIP	ENST00000555181.1	GSK3B interacting protein 	1581	2	1	1	0	0	0	0	0	1	hsa-miR-181b-5p	-0.67	-0.67	0.94	2007, 2009, 2011
ARSJ	ENST00000315366.7	arylsulfatase family, member J 	386	2	2	0	0	0	0	0	0	1	hsa-miR-181d-5p	-0.66	-0.67	0.94	2005, 2007, 2009, 2011
ZNF300	ENST00000427179.1	zinc finger protein 300 	107	6	3	3	0	2	0	2	0	3	hsa-miR-181d-5p	-0.65	-0.65	< 0.1	
ZKSCAN1	ENST00000324306.6	zinc finger with KRAB and SCAN domains 1 	1314	1	0	1	0	1	0	1	0	2	hsa-miR-181d-5p	-0.62	-0.64	0.31	2011
CREBRF	ENST00000540014.1	CREB3 regulatory factor 	24	2	2	0	0	2	0	1	1	1	hsa-miR-181d-5p	-0.62	-0.68	0.93	2003, 2005, 2007, 2009, 2011
SRSF7	ENST00000313117.6	serine/arginine-rich splicing factor 7 	16077	1	1	0	0	1	1	0	0	1	hsa-miR-181a-5p	-0.60	-0.69	0.76	2005, 2007, 2009, 2011
KLF6	ENST00000542957.1	Kruppel-like factor 6 	4644	2	1	1	0	0	0	0	0	1	hsa-miR-181a-5p	-0.59	-0.59	0.92	2005, 2007, 2009, 2011
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	3	0	1	2	0	0	0	0	1	hsa-miR-181a-5p	-0.58	-0.58	0.95	2005, 2007, 2009, 2011
ZIK1	ENST00000307468.4	zinc finger protein interacting with K protein 1 	64	2	0	2	0	3	0	2	1	3	hsa-miR-181d-5p	-0.58	-0.62	< 0.1	
HMBS	ENST00000392841.1	hydroxymethylbilane synthase 	253	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.57	-0.57	0.58	2009, 2011
FBXO34	ENST00000313833.4	F-box protein 34 	80	2	0	2	0	1	0	1	0	0	hsa-miR-181d-5p	-0.57	-0.59	0.92	2009, 2011
S1PR1	ENST00000305352.6	sphingosine-1-phosphate receptor 1 	251	2	1	1	0	0	0	0	0	3	hsa-miR-181b-5p	-0.56	-0.57	0.95	2005, 2007, 2009, 2011
RNF34	ENST00000361234.5	ring finger protein 34, E3 ubiquitin protein ligase 	533	2	1	1	0	0	0	0	0	0	hsa-miR-181a-5p	-0.53	-0.54	0.82	2005, 2007, 2009, 2011
GABRA1	ENST00000428797.2	gamma-aminobutyric acid (GABA) A receptor, alpha 1 	5	3	1	1	1	0	0	0	0	1	hsa-miR-181a-5p	-0.53	-0.53	0.94	2005, 2007, 2009, 2011
BLOC1S6	ENST00000220531.3	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin 	1754	2	2	0	0	0	0	0	0	0	hsa-miR-181c-5p	-0.52	-0.53	0.81	2009, 2011
NCALD	ENST00000395923.1	neurocalcin delta 	49	1	0	1	0	1	0	0	1	1	hsa-miR-181d-5p	-0.51	-0.51	0.72	2005, 2007, 2009, 2011
CLVS1	ENST00000518592.1	clavesin 1 	5	1	1	0	0	1	0	1	0	0	hsa-miR-181a-5p	-0.51	-0.51	0.38	2009, 2011
BHLHE40	ENST00000256495.3	basic helix-loop-helix family, member e40 	1571	1	1	0	0	1	0	0	1	0	hsa-miR-181a-5p	-0.50	-0.53	0.78	2005, 2007, 2009, 2011
APOO	ENST00000379226.4	apolipoprotein O 	5	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.50	-0.50	< 0.1	2009, 2011
RLF	ENST00000372771.4	rearranged L-myc fusion 	70	2	1	1	0	0	0	0	0	0	hsa-miR-181c-5p	-0.50	-0.66	0.90	2005, 2007, 2009, 2011
CTD-2228K2.5	ENST00000342584.3	Uncharacterized protein  	199	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.50	-0.50	0.76	
ZFAND6	ENST00000261749.6	zinc finger, AN1-type domain 6 	11	1	1	0	0	1	0	0	1	0	hsa-miR-181a-5p	-0.49	-0.49	0.74	2007, 2009, 2011
C16orf87	ENST00000394806.2	chromosome 16 open reading frame 87 	95	1	1	0	0	1	0	0	1	2	hsa-miR-181c-5p	-0.48	-0.62	0.76	2005, 2007
METAP1	ENST00000296411.6	methionyl aminopeptidase 1 	887	1	0	1	0	1	1	0	0	0	hsa-miR-181d-5p	-0.47	-0.53	0.77	2005, 2007, 2009, 2011
C2CD5	ENST00000333957.4	C2 calcium-dependent domain containing 5 	66	2	2	0	0	1	0	1	0	0	hsa-miR-181d-5p	-0.47	-0.47	0.73	2005, 2007, 2009, 2011
ESM1	ENST00000381405.4	endothelial cell-specific molecule 1 	10	1	1	0	0	1	0	1	0	0	hsa-miR-181a-5p	-0.46	-0.46	0.71	2011
E2F5	ENST00000418930.2	E2F transcription factor 5, p130-binding 	10	1	1	0	0	0	0	0	0	0	hsa-miR-181d-5p	-0.46	-0.46	0.56	2009, 2011
CPNE2	ENST00000290776.8	copine II 	1469	1	1	0	0	1	0	1	0	0	hsa-miR-181a-5p	-0.46	-0.48	0.76	2005, 2007, 2009, 2011
RBBP7	ENST00000380087.2	retinoblastoma binding protein 7 	270	1	1	0	0	0	0	0	0	1	hsa-miR-181a-5p	-0.46	-0.46	< 0.1	2005, 2007, 2009, 2011
ZNF426	ENST00000253115.2	zinc finger protein 426 	70	2	0	2	0	4	4	0	0	3	hsa-miR-181a-5p	-0.45	-2.36	0.53	
ZNF33B	ENST00000359467.3	zinc finger protein 33B 	30	1	0	1	0	2	0	0	2	0	hsa-miR-181a-5p	-0.45	-1.01	0.39	2011
CTDSPL	ENST00000443503.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like 	372	2	0	2	0	3	0	2	1	3	hsa-miR-181d-5p	-0.45	-0.53	0.95	2003, 2005, 2007, 2009, 2011
LYRM1	ENST00000396052.2	LYR motif containing 1 	405	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.45	-0.45	< 0.1	2009, 2011
DERL1	ENST00000259512.4	derlin 1 	1081	2	2	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.45	-0.52	0.70	2005, 2007, 2009, 2011
PARK2	ENST00000366898.1	parkin RBR E3 ubiquitin protein ligase 	55	1	0	1	0	2	1	1	0	0	hsa-miR-181d-5p	-0.44	-0.44	0.32	2011
ARF6	ENST00000298316.5	ADP-ribosylation factor 6 	31	1	1	0	0	2	0	1	1	0	hsa-miR-181d-5p	-0.44	-0.54	0.65	2009, 2011
ASAH2B	ENST00000374007.1	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B 	5	2	1	1	0	3	1	2	0	0	hsa-miR-181d-5p	-0.44	-0.66	0.74	
PNRC2	ENST00000334351.7	proline-rich nuclear receptor coactivator 2 	100	1	1	0	0	1	0	1	0	0	hsa-miR-181a-5p	-0.44	-0.44	0.76	2005, 2007, 2009, 2011
DCUN1D1	ENST00000292782.4	DCN1, defective in cullin neddylation 1, domain containing 1 	267	2	0	1	1	1	0	0	1	0	hsa-miR-181d-5p	-0.44	-0.44	0.89	2007
TNFRSF11B	ENST00000297350.4	tumor necrosis factor receptor superfamily, member 11b 	1786	1	1	0	0	0	0	0	0	1	hsa-miR-181a-5p	-0.43	-0.43	0.50	2005, 2007, 2009, 2011
C7orf41	ENST00000324453.8	chromosome 7 open reading frame 41 	235	2	1	0	1	1	0	1	0	0	hsa-miR-181c-5p	-0.43	-0.44	0.88	2007, 2009, 2011
SCD	ENST00000370355.2	stearoyl-CoA desaturase (delta-9-desaturase) 	9726	1	1	0	0	1	1	0	0	1	hsa-miR-181d-5p	-0.43	-0.43	0.76	2009, 2011
PRKCD	ENST00000394729.2	protein kinase C, delta 	2225	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.42	-0.43	0.66	2005, 2007, 2009, 2011
PAPD5	ENST00000357464.3	PAP associated domain containing 5 	152	2	1	1	0	3	0	2	1	2	hsa-miR-181d-5p	-0.42	-0.49	0.96	2007, 2009, 2011
PET117	ENST00000432901.3	PET117 homolog (S. cerevisiae) 	120	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.42	-0.42	< 0.1	
CDON	ENST00000392693.3	cell adhesion associated, oncogene regulated 	173	1	1	0	0	2	1	0	1	2	hsa-miR-181a-5p	-0.42	-0.43	0.76	2005, 2007, 2009, 2011
EPC2	ENST00000258484.6	enhancer of polycomb homolog 2 (Drosophila) 	152	1	1	0	0	2	0	0	2	2	hsa-miR-181a-5p	-0.42	-0.58	0.72	2005, 2007, 2009, 2011
BEND3	ENST00000369042.1	BEN domain containing 3 	13	4	2	0	2	0	0	0	0	3	hsa-miR-181c-5p	-0.42	-0.51	0.98	2007, 2009, 2011
TCERG1	ENST00000296702.5	transcription elongation regulator 1 	152	2	0	2	0	0	0	0	0	0	hsa-miR-181a-5p	-0.42	-0.45	0.94	2005, 2007, 2009, 2011
NPEPPS	ENST00000322157.4	aminopeptidase puromycin sensitive 	2194	1	1	0	0	0	0	0	0	0	hsa-miR-181d-5p	-0.42	-0.42	0.76	2005, 2007, 2009, 2011
SALL4	ENST00000217086.4	sal-like 4 (Drosophila) 	155	2	2	0	0	1	0	1	0	0	hsa-miR-181a-5p	-0.42	-0.43	0.94	
PCNP	ENST00000296024.5	PEST proteolytic signal containing nuclear protein 	944	2	0	2	0	0	0	0	0	0	hsa-miR-181a-5p	-0.42	-0.43	0.94	2005, 2007
LRRC8D	ENST00000337338.5	leucine rich repeat containing 8 family, member D 	96	2	0	2	0	0	0	0	0	0	hsa-miR-181c-5p	-0.41	-0.41	0.83	2009, 2011
ADAMTS5	ENST00000284987.5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 	68	2	1	0	1	0	0	0	0	2	hsa-miR-181a-5p	-0.41	-0.43	0.84	2005, 2007, 2009, 2011
SIM1	ENST00000369208.3	single-minded homolog 1 (Drosophila) 	104	1	0	0	1	4	0	2	2	0	hsa-miR-181a-5p	-0.41	-0.42	0.59	
MED8	ENST00000372457.4	mediator complex subunit 8 	745	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.41	-0.45	0.21	2011
EXOSC3	ENST00000396521.3	exosome component 3 	1657	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.41	-0.41	< 0.1	2009, 2011
NUS1	ENST00000368494.3	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) 	302	1	1	0	0	1	0	0	1	0	hsa-miR-181d-5p	-0.41	-0.41	0.76	2009, 2011
ZFP36L1	ENST00000555997.1	ZFP36 ring finger protein-like 1 	231	2	1	0	1	0	0	0	0	1	hsa-miR-181b-5p	-0.40	-0.57	0.79	2007, 2009, 2011
CPOX	ENST00000264193.2	coproporphyrinogen oxidase 	377	1	1	0	0	2	0	2	0	0	hsa-miR-181a-5p	-0.40	-0.45	0.26	
RAB3IP	ENST00000483530.2	RAB3A interacting protein 	73	1	0	1	0	4	1	1	2	3	hsa-miR-181b-5p	-0.40	-0.59	0.44	2009, 2011
ITSN1	ENST00000379960.5	intersectin 1 (SH3 domain protein) 	194	2	1	0	1	0	0	0	0	0	hsa-miR-181d-5p	-0.40	-0.43	0.84	2005, 2007, 2009, 2011
C2orf69	ENST00000319974.5	chromosome 2 open reading frame 69 	82	2	1	1	0	0	0	0	0	0	hsa-miR-181b-5p	-0.40	-0.42	0.87	2005, 2007, 2009, 2011
ARHGEF3	ENST00000296315.3	Rho guanine nucleotide exchange factor (GEF) 3 	359	1	0	1	0	2	0	1	1	0	hsa-miR-181d-5p	-0.40	-0.40	0.35	2009, 2011
KIAA0195	ENST00000314256.7	KIAA0195 	810	2	2	0	0	1	0	1	0	0	hsa-miR-181a-5p	-0.40	-0.40	0.37	2005, 2007, 2009, 2011
HOXA11	ENST00000006015.3	homeobox A11 	133	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.39	-0.39	0.76	2003, 2005, 2007, 2009, 2011
HOXD1	ENST00000331462.4	homeobox D1 	35	1	1	0	0	0	0	0	0	0	hsa-miR-181d-5p	-0.39	-0.39	0.17	2009, 2011
CCL8	ENST00000394620.1	chemokine (C-C motif) ligand 8 	5	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.39	-0.39	< 0.1	2011
NLN	ENST00000380985.5	neurolysin (metallopeptidase M3 family) 	885	1	1	0	0	1	0	1	0	3	hsa-miR-181a-5p	-0.39	-0.43	0.68	2009, 2011
RAB30	ENST00000533486.1	RAB30, member RAS oncogene family 	274	3	1	1	1	2	0	1	1	2	hsa-miR-181d-5p	-0.39	-0.71	0.93	
HOXC8	ENST00000040584.4	homeobox C8 	5	2	2	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.39	-0.39	0.94	2005, 2007, 2009, 2011
OTOGL	ENST00000458043.2	otogelin-like 	5	1	1	0	0	0	0	0	0	1	hsa-miR-181d-5p	-0.39	-0.39	< 0.1	2011
ST8SIA4	ENST00000231461.5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 	5	2	2	0	0	1	0	0	1	0	hsa-miR-181a-5p	-0.39	-0.39	0.76	2005, 2007, 2009, 2011
GPD1L	ENST00000282541.5	glycerol-3-phosphate dehydrogenase 1-like 	130	1	1	0	0	2	1	0	1	0	hsa-miR-181d-5p	-0.38	-0.43	0.72	2011
TXNDC12	ENST00000371626.4	thioredoxin domain containing 12 (endoplasmic reticulum) 	101	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.38	-0.38	0.11	2007, 2009, 2011
MLF1	ENST00000355893.5	myeloid leukemia factor 1 	458	1	0	1	0	1	0	0	1	0	hsa-miR-181b-5p	-0.38	-0.40	0.76	2011
SPRY4	ENST00000344120.4	sprouty homolog 4 (Drosophila) 	110	2	2	0	0	0	0	0	0	1	hsa-miR-181d-5p	-0.38	-0.47	0.94	2005, 2007, 2009, 2011
TOR1AIP2	ENST00000367612.3	torsin A interacting protein 2 	569	2	1	0	1	2	0	2	0	0	hsa-miR-181b-5p	-0.37	-0.41	0.53	2011
HOXA1	ENST00000355633.5	homeobox A1 	157	1	1	0	0	0	0	0	0	0	hsa-miR-181d-5p	-0.37	-0.37	0.64	2005, 2007, 2009, 2011
PI4K2B	ENST00000264864.6	phosphatidylinositol 4-kinase type 2 beta 	931	1	1	0	0	0	0	0	0	2	hsa-miR-181a-5p	-0.37	-0.43	0.76	2005, 2007, 2009, 2011
LPCAT2	ENST00000262134.5	lysophosphatidylcholine acyltransferase 2 	360	1	1	0	0	4	2	1	1	0	hsa-miR-181b-5p	-0.37	-0.47	0.39	2011
PLCL2	ENST00000418129.2	phospholipase C-like 2 	122	1	1	0	0	1	0	0	1	1	hsa-miR-181c-5p	-0.37	-0.41	0.58	2005, 2007, 2009, 2011
KLF15	ENST00000296233.3	Kruppel-like factor 15 	7	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.37	-0.37	0.76	2005, 2007, 2009, 2011
SPP1	ENST00000237623.7	secreted phosphoprotein 1 	15	1	0	1	0	1	1	0	0	0	hsa-miR-181c-5p	-0.37	-0.66	0.23	2011
CBX7	ENST00000216133.5	chromobox homolog 7 	5	2	2	0	0	1	0	1	0	0	hsa-miR-181b-5p	-0.37	-0.37	0.94	2005, 2007, 2009, 2011
AP1S3	ENST00000396654.2	adaptor-related protein complex 1, sigma 3 subunit 	130	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.37	-0.38	< 0.1	2009, 2011
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	2	2	0	0	0	0	0	0	0	hsa-miR-181d-5p	-0.36	-0.36	0.92	2005, 2007, 2009, 2011
ZNF536	ENST00000355537.3	zinc finger protein 536 	5	1	0	0	1	1	0	0	1	0	hsa-miR-181d-5p	-0.36	-0.36	0.48	2005, 2007
MELK	ENST00000536987.1	maternal embryonic leucine zipper kinase 	5978	1	1	0	0	0	0	0	0	2	hsa-miR-181a-5p	-0.36	-0.41	0.53	
GATA6	ENST00000269216.3	GATA binding protein 6 	691	1	1	0	0	0	0	0	0	2	hsa-miR-181a-5p	-0.36	-0.38	0.76	2005, 2007, 2009, 2011
TMF1	ENST00000398559.2	TATA element modulatory factor 1 	349	1	1	0	0	2	0	1	1	1	hsa-miR-181d-5p	-0.36	-0.39	0.76	2009, 2011
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	2	1	0	1	0	0	0	0	0	hsa-miR-181c-5p	-0.36	-0.36	0.88	2005, 2007, 2009, 2011
HMGB2	ENST00000296503.5	high mobility group box 2 	8626	1	0	1	0	2	0	1	1	3	hsa-miR-181c-5p	-0.36	-0.48	0.78	2005, 2007, 2011
HSP90B1	ENST00000299767.5	heat shock protein 90kDa beta (Grp94), member 1 	42	1	1	0	0	1	0	1	0	1	hsa-miR-181a-5p	-0.36	-0.38	0.76	2007, 2009, 2011
BCL2	ENST00000398117.1	B-cell CLL/lymphoma 2 	55	2	1	0	1	0	0	0	0	1	hsa-miR-181b-5p	-0.36	-0.38	0.88	2005, 2007, 2009, 2011
MB21D2	ENST00000392452.2	Mab-21 domain containing 2 	48	1	1	0	0	1	0	1	0	0	hsa-miR-181d-5p	-0.36	-0.37	0.78	2007, 2009, 2011
SOWAHA	ENST00000378693.2	sosondowah ankyrin repeat domain family member A 	138	1	1	0	0	0	0	0	0	1	hsa-miR-181a-5p	-0.36	-0.36	0.64	2007, 2009, 2011
BTBD3	ENST00000254977.3	BTB (POZ) domain containing 3 	3798	2	0	2	0	1	0	1	0	0	hsa-miR-181a-5p	-0.36	-0.48	0.95	2005, 2007, 2009, 2011
TMEM165	ENST00000381334.5	transmembrane protein 165 	2603	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.36	-0.39	< 0.1	2009, 2011
WHAMM	ENST00000286760.4	WAS protein homolog associated with actin, golgi membranes and microtubules 	834	2	0	2	0	1	0	1	0	0	hsa-miR-181c-5p	-0.35	-0.37	0.94	
CPEB4	ENST00000265085.5	cytoplasmic polyadenylation element binding protein 4 	472	3	0	2	1	2	0	1	1	1	hsa-miR-181d-5p	-0.35	-0.38	0.97	2005, 2007, 2009, 2011
PHLDA1	ENST00000602540.1	pleckstrin homology-like domain, family A, member 1 	3907	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.35	-0.35	0.76	2005, 2007, 2009, 2011
PROX1	ENST00000366958.4	prospero homeobox 1 	131	2	2	0	0	2	0	0	2	3	hsa-miR-181d-5p	-0.35	-0.35	0.90	2005, 2007, 2009, 2011
TNF	ENST00000449264.2	tumor necrosis factor 	5	1	1	0	0	0	0	0	0	1	hsa-miR-181a-5p	-0.35	-0.35	< 0.1	2011
CCAR1	ENST00000265872.6	cell division cycle and apoptosis regulator 1 	1502	1	0	1	0	0	0	0	0	1	hsa-miR-181a-5p	-0.35	-0.35	0.77	2005, 2007
FLT1	ENST00000282397.4	fms-related tyrosine kinase 1 	7	2	1	0	1	1	0	0	1	0	hsa-miR-181c-5p	-0.35	-0.41	0.88	2005, 2007, 2009, 2011
LARP4	ENST00000398473.2	La ribonucleoprotein domain family, member 4 	35	2	2	0	0	1	0	1	0	2	hsa-miR-181d-5p	-0.35	-0.47	0.94	2007, 2009, 2011
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	3	0	2	1	0	0	0	0	1	hsa-miR-181a-5p	-0.35	-0.35	0.89	
IL1A	ENST00000263339.3	interleukin 1, alpha 	5	1	0	1	0	1	0	0	1	0	hsa-miR-181c-5p	-0.34	-0.34	0.76	2005, 2007, 2009, 2011
LRIG2	ENST00000361127.5	leucine-rich repeats and immunoglobulin-like domains 2 	348	1	0	0	1	0	0	0	0	4	hsa-miR-181a-5p	-0.34	-0.38	0.53	
PAM	ENST00000438793.3	peptidylglycine alpha-amidating monooxygenase 	17149	1	1	0	0	1	0	1	0	1	hsa-miR-181a-5p	-0.34	-0.41	0.76	2005, 2007, 2009, 2011
IPO8	ENST00000256079.4	importin 8 	228	1	1	0	0	2	0	2	0	0	hsa-miR-181a-5p	-0.34	-0.35	0.75	2009, 2011
DNAJA4	ENST00000394855.3	DnaJ (Hsp40) homolog, subfamily A, member 4 	24	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.34	-0.34	0.26	2009, 2011
SELK	ENST00000541726.1	Selenoprotein K  	400	1	0	1	0	1	0	0	1	0	hsa-miR-181a-5p	-0.34	-0.55	0.78	
NR6A1	ENST00000487099.2	nuclear receptor subfamily 6, group A, member 1 	1082	2	1	1	0	1	0	1	0	1	hsa-miR-181a-5p	-0.34	-0.34	0.95	2005, 2007, 2009, 2011
ZFP36L2	ENST00000282388.3	ZFP36 ring finger protein-like 2 	317	3	2	0	1	0	0	0	0	6	hsa-miR-181a-5p	-0.34	-0.63	0.97	2011
BAG4	ENST00000287322.4	BCL2-associated athanogene 4 	29	1	1	0	0	0	0	0	0	1	hsa-miR-181c-5p	-0.34	-0.35	0.74	2009, 2011
RABGEF1	ENST00000284957.5	RAB guanine nucleotide exchange factor (GEF) 1 	289	1	0	1	0	1	0	0	1	1	hsa-miR-181c-5p	-0.34	-0.38	0.26	2005, 2007, 2009
SRPK2	ENST00000393651.3	SRSF protein kinase 2 	381	2	0	1	1	1	0	1	0	0	hsa-miR-181d-5p	-0.34	-0.45	0.90	2005, 2007, 2009, 2011
KLHL2	ENST00000538127.1	kelch-like family member 2 	511	1	1	0	0	0	0	0	0	0	hsa-miR-181a-5p	-0.34	-0.36	0.60	2005, 2007, 2009, 2011
LIN28B	ENST00000345080.4	lin-28 homolog B (C. elegans) 	118	2	0	2	0	1	0	0	1	0	hsa-miR-181d-5p	-0.34	-0.34	0.94	2007, 2009, 2011
PHIP	ENST00000275034.4	pleckstrin homology domain interacting protein 	668	2	0	0	2	3	0	1	2	2	hsa-miR-181d-5p	-0.34	-0.34	0.80	2011
LMO1	ENST00000335790.3	LIM domain only 1 (rhombotin 1) 	238	1	0	1	0	0	0	0	0	0	hsa-miR-181a-5p	-0.34	-0.41	0.66	2005, 2007, 2009, 2011
